City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
306,Zhigansk,66.7697,123.3711,-30.23,99,99,4.54,overcast clouds,RU
307,Chuncheng,22.1731,111.7886,49.51,86,7,5.12,clear sky,CN
308,Buluang,13.3068,123.3425,71.15,92,99,3.4,overcast clouds,PH
309,Lardos,36.0942,28.0157,53.94,57,0,13.91,clear sky,GR
310,Tanhacu,-14.0214,-41.2481,89.2,38,39,6.64,scattered clouds,BR
311,Moussoro,13.6408,16.4901,69.19,13,3,16.6,clear sky,TD
312,Vila Franca Do Campo,37.7167,-25.4333,63.19,75,100,10.38,overcast clouds,PT
313,Bathsheba,13.2167,-59.5167,83.01,61,75,13.8,broken clouds,BB
314,Hofn,64.2539,-15.2082,28.42,54,20,24.16,few clouds,IS
315,Meulaboh,4.1363,96.1285,76.68,87,100,4.14,light rain,ID
316,Fortuna,40.5982,-124.1573,48.09,97,100,0.0,overcast clouds,US
317,Smithers,54.7804,-127.1743,37.72,87,75,6.91,broken clouds,CA
318,Ostrovnoy,68.0531,39.5131,5.61,96,100,11.74,overcast clouds,RU
319,Victoria,22.2855,114.1577,58.24,77,96,4.0,overcast clouds,HK
320,Namibe,-15.1961,12.1522,73.71,72,100,8.37,overcast clouds,AO
321,Takoradi,4.8845,-1.7554,81.73,74,11,9.84,few clouds,GH
322,Port Blair,11.6667,92.75,77.04,88,40,2.3,mist,IN
323,Parabel,58.6978,81.4825,22.42,91,100,11.99,light snow,RU
324,Mahibadhoo,3.7833,72.9667,81.88,75,15,11.86,few clouds,MV
325,Uruzgan,32.8333,66.0,35.47,44,0,6.8,clear sky,AF
326,Lagoa,39.05,-27.9833,58.12,81,82,18.05,broken clouds,PT
327,High Level,58.5169,-117.136,-3.89,77,100,6.91,light snow,CA
328,Abhar,36.1468,49.218,40.62,69,7,24.32,clear sky,IR
329,Kavaratti,10.5669,72.642,78.91,62,100,10.54,overcast clouds,IN
330,San Fernando,15.0286,120.6898,78.15,81,15,4.36,few clouds,PH
331,Vestmannaeyjar,63.4427,-20.2734,27.59,80,0,5.75,clear sky,IS
332,Kamaishi,39.2667,141.8833,29.26,52,98,5.17,overcast clouds,JP
333,Reconquista,-29.15,-59.65,98.29,26,87,6.62,overcast clouds,AR
334,San Isidro,-12.1167,-77.05,76.59,77,0,1.01,clear sky,PE
335,Berlevag,70.8578,29.0864,17.55,73,0,21.85,clear sky,NO
336,Esna,25.2934,32.554,57.22,46,0,8.37,clear sky,EG
337,Mackay,-21.15,149.2,78.78,78,75,24.16,broken clouds,AU
338,Tanout,14.9709,8.8879,62.44,14,0,12.95,clear sky,NE
339,Goulburn,-34.75,149.7167,53.58,97,100,7.83,overcast clouds,AU
340,Liverpool,53.4106,-2.9779,43.77,81,40,8.01,scattered clouds,GB
341,La Ronge,55.1001,-105.2842,-19.98,69,100,4.61,overcast clouds,CA
342,Port-Gentil,-0.7193,8.7815,80.56,83,20,4.61,few clouds,GA
343,Mayumba,-3.432,10.6554,77.59,80,18,3.85,few clouds,GA
344,Skegness,53.1436,0.3363,42.35,76,9,21.23,clear sky,GB
345,Grindavik,63.8424,-22.4338,27.07,80,75,9.22,broken clouds,IS
346,Tynne,50.6015,26.1849,33.75,99,100,6.58,light snow,UA
347,Soma,39.1855,27.6094,39.99,82,19,5.26,few clouds,TR
